TimeStamp,GBVibForward,GBVibLateral,GBVibVertical,addVibForward,addVibLateral,addVibVertical
2017/05/24_12:10:21.556,-1020.286,105.774,-6.771,0,,
2017/05/24_12:10:21.561,-1017.48,107.97,-7.015,0,,
2017/05/24_12:10:21.566,-1017.297,104.127,-5.978,0,,
2017/05/24_12:10:21.571,-1018.944,106.506,-5.978,0,,
2017/05/24_12:10:21.576,-1016.565,105.286,-6.71,0,,
2017/05/24_12:10:21.581,-1018.7,109.068,-6.466,0,,
2017/05/24_12:10:21.586,-1018.761,103.395,-8.052,0,,
2017/05/24_12:10:21.591,-1019.005,105.103,-7.991,0,,
2017/05/24_12:10:21.596,-1019.554,105.713,-8.235,0,,
2017/05/24_12:10:21.601,-1017.358,105.652,-6.344,0,,
2017/05/24_12:10:21.606,-1017.541,107.36,-9.333,0,,
2017/05/24_12:10:21.611,-1015.65,105.103,-9.089,0,,
2017/05/24_12:10:21.616,-1019.066,105.957,-7.32,0,,
2017/05/24_12:10:21.621,-1016.87,104.31,-6.527,0,,
2017/05/24_12:10:21.626,-1020.408,105.53,-9.211,0,,
2017/05/24_12:10:21.631,-1017.663,105.53,-7.625,0,,
2017/05/24_12:10:21.636,-1018.029,105.835,-6.405,0,,
2017/05/24_12:10:21.641,-1019.31,107.848,-7.686,0,,
2017/05/24_12:10:21.646,-1018.944,105.713,-8.418,0,,
2017/05/24_12:10:21.651,-1021.506,103.822,-9.638,0,,
2017/05/24_12:10:21.656,-1016.016,104.92,-7.137,0,,
2017/05/24_12:10:21.661,-1017.419,105.286,-8.357,0,,
2017/05/24_12:10:21.666,-1017.785,108.58,-6.405,0,,
2017/05/24_12:10:21.671,-1017.419,105.164,-10.309,0,,
2017/05/24_12:10:21.676,-1018.822,106.75,-8.54,0,,
2017/05/24_12:10:21.681,-1017.053,106.811,-5.185,0,,
2017/05/24_12:10:21.686,-1021.14,107.726,-8.784,0,,
2017/05/24_12:10:21.691,-1016.199,107.055,-8.967,0,,
2017/05/24_12:10:21.696,-1015.711,107.421,-5.49,0,,
2017/05/24_12:10:21.701,-1016.016,107.97,-6.039,0,,
2017/05/24_12:10:21.706,-1019.676,107.421,-7.442,0,,
2017/05/24_12:10:21.711,-1016.26,108.214,-7.93,0,,
2017/05/24_12:10:21.716,-1016.992,109.129,-6.344,0,,
2017/05/24_12:10:21.721,-1015.65,106.079,-9.943,0,,
2017/05/24_12:10:21.726,-1017.419,106.201,-8.113,0,,
2017/05/24_12:10:21.731,-1019.798,107.177,-6.527,0,,
